"","x"
"Cell1221","3"
"Cell1222","1"
"Cell1223","3"
"Cell1224","7"
"Cell1225","1"
"Cell1226","5"
"Cell1227","3"
"Cell1228","6"
"Cell1229","6"
"Cell1230","4"
"Cell1231","3"
"Cell1232","2"
"Cell1233","6"
"Cell1234","2"
"Cell1235","1"
"Cell1236","1"
"Cell1237","5"
"Cell1238","1"
"Cell1239","6"
"Cell1240","5"
"Cell1241","1"
"Cell1242","3"
"Cell1243","3"
"Cell1244","3"
"Cell1245","7"
"Cell1246","8"
"Cell1247","1"
"Cell1248","3"
"Cell1249","9"
"Cell1250","2"
"Cell1251","6"
"Cell1252","2"
"Cell1253","2"
"Cell1254","5"
"Cell1255","6"
"Cell1256","1"
"Cell1257","9"
"Cell1258","2"
"Cell1259","3"
"Cell1260","4"
"Cell1261","3"
"Cell1262","1"
"Cell1263","1"
"Cell1264","3"
"Cell1265","3"
"Cell1266","4"
"Cell1267","4"
"Cell1268","8"
"Cell1269","4"
"Cell1270","2"
"Cell1271","3"
"Cell1272","5"
"Cell1273","1"
"Cell1274","2"
"Cell1275","1"
"Cell1276","1"
"Cell1277","1"
"Cell1278","3"
"Cell1279","3"
"Cell1280","4"
"Cell1281","6"
"Cell1282","2"
"Cell1283","8"
"Cell1284","8"
"Cell1285","2"
"Cell1286","1"
"Cell1287","6"
"Cell1288","1"
"Cell1289","1"
"Cell1290","7"
"Cell1291","3"
"Cell1292","2"
"Cell1293","1"
"Cell1294","2"
"Cell1295","8"
"Cell1296","2"
"Cell1297","2"
"Cell1298","3"
"Cell1299","10"
"Cell1300","7"
"Cell1301","3"
"Cell1302","2"
"Cell1303","2"
"Cell1304","2"
"Cell1305","1"
"Cell1306","1"
"Cell1307","5"
"Cell1308","5"
"Cell1309","5"
"Cell1310","4"
"Cell1311","1"
"Cell1312","1"
"Cell1313","3"
"Cell1314","4"
"Cell1315","1"
"Cell1316","2"
"Cell1317","2"
"Cell1318","8"
"Cell1319","2"
"Cell1320","5"
"Cell1321","1"
"Cell1322","2"
"Cell1323","1"
"Cell1324","3"
"Cell1325","1"
"Cell1326","3"
"Cell1327","6"
"Cell1328","4"
"Cell1329","1"
"Cell1330","4"
"Cell1331","4"
"Cell1332","5"
"Cell1333","3"
"Cell1334","3"
"Cell1335","1"
"Cell1336","1"
"Cell1337","6"
"Cell1338","3"
"Cell1339","1"
"Cell1340","6"
"Cell1341","3"
"Cell1342","2"
"Cell1343","5"
"Cell1344","3"
"Cell1345","2"
"Cell1346","2"
"Cell1347","8"
"Cell1348","1"
"Cell1349","1"
"Cell1350","1"
"Cell1351","3"
"Cell1352","2"
"Cell1353","2"
"Cell1354","1"
"Cell1355","3"
"Cell1356","6"
"Cell1357","2"
"Cell1358","4"
"Cell1359","5"
"Cell1360","1"
"Cell1361","3"
"Cell1362","4"
"Cell1363","1"
"Cell1364","3"
"Cell1365","5"
"Cell1366","1"
"Cell1367","1"
"Cell1368","3"
"Cell1369","5"
"Cell1370","1"
"Cell1371","1"
"Cell1372","2"
"Cell1373","2"
"Cell1374","7"
"Cell1375","3"
"Cell1376","1"
"Cell1377","1"
"Cell1378","1"
"Cell1379","7"
"Cell1380","1"
"Cell1381","9"
"Cell1382","2"
"Cell1383","1"
"Cell1384","5"
"Cell1385","2"
"Cell1386","3"
"Cell1387","1"
"Cell1388","2"
"Cell1389","3"
"Cell1390","5"
"Cell1391","6"
"Cell1392","1"
"Cell1393","1"
"Cell1394","1"
"Cell1395","3"
"Cell1396","2"
"Cell1397","2"
"Cell1398","7"
"Cell1399","3"
"Cell1400","2"
"Cell1401","4"
"Cell1402","1"
"Cell1403","2"
"Cell1404","1"
"Cell1405","5"
"Cell1406","1"
"Cell1407","2"
"Cell1408","2"
"Cell1409","5"
"Cell1410","7"
"Cell1411","3"
"Cell1412","2"
"Cell1413","1"
"Cell1414","2"
"Cell1415","3"
"Cell1416","2"
"Cell1417","4"
"Cell1418","1"
"Cell1419","5"
"Cell1420","1"
"Cell1421","3"
"Cell1422","1"
"Cell1423","1"
"Cell1424","1"
"Cell1425","2"
"Cell1426","3"
"Cell1427","3"
"Cell1428","3"
"Cell1429","2"
"Cell1430","1"
"Cell1431","5"
"Cell1432","3"
"Cell1433","6"
"Cell1434","5"
"Cell1435","2"
"Cell1436","5"
"Cell1437","3"
"Cell1438","2"
"Cell1439","7"
"Cell1440","3"
"Cell1441","4"
"Cell1442","1"
"Cell1443","7"
"Cell1444","6"
"Cell1445","5"
"Cell1446","1"
"Cell1447","5"
"Cell1448","1"
"Cell1449","5"
"Cell1450","1"
"Cell1451","1"
"Cell1452","3"
"Cell1453","3"
"Cell1454","8"
"Cell1455","1"
"Cell1456","5"
"Cell1457","5"
"Cell1458","2"
"Cell1459","1"
"Cell1460","4"
"Cell1461","4"
"Cell1462","3"
"Cell1463","2"
"Cell1464","1"
"Cell1465","5"
"Cell1466","3"
"Cell1467","1"
"Cell1468","2"
"Cell1469","4"
"Cell1470","3"
"Cell1471","1"
"Cell1472","1"
"Cell1473","1"
"Cell1474","3"
"Cell1475","3"
"Cell1476","2"
"Cell1477","1"
"Cell1478","1"
"Cell1479","1"
"Cell1480","4"
"Cell1481","5"
"Cell1482","9"
"Cell1483","4"
"Cell1484","5"
"Cell1485","7"
"Cell1486","1"
"Cell1487","6"
"Cell1488","5"
"Cell1489","2"
"Cell1490","2"
"Cell1491","2"
"Cell1492","2"
"Cell1493","4"
"Cell1494","1"
"Cell1495","3"
"Cell1496","3"
